      Fwd_Rate      Rev_Rate      Net_Rate  PEI                                Reaction_String
     0.0003173     0.0000304     0.0002869 0.50          (0)(000000)  <=>          (1)(000001)
     0.0176005     0.0174949     0.0001057 0.50          (0)(000000)  <=>          (4)(000100)
     0.0000018     0.0003943    -0.0003925 0.50          (0)(000000)  <=>          (8)(001000)
     0.0006320     0.0006320    -0.0000001 0.50          (0)(000000)  <=>         (32)(100000)
     0.0127603     0.0129319    -0.0001716 0.50          (1)(000001)  <=>          (5)(000101)
     0.0000007     0.0000905    -0.0000898 0.50          (1)(000001)  <=>          (9)(001001)
     0.0002682     0.0002686    -0.0000004 0.50          (1)(000001)  <=>         (33)(100001)
     0.0005491     0.0000003     0.0005488 0.50          (1)(000001)  <=>         (34)(100010)
     0.0069398     0.0001286     0.0068112 0.50          (4)(000100)  <=>          (5)(000101)
     0.0000398     0.0066582    -0.0066183 0.50          (4)(000100)  <=>         (12)(001100)
     0.0143885     0.0144757    -0.0000872 0.50          (4)(000100)  <=>         (36)(100100)
     0.0000243     0.0029197    -0.0028954 0.50          (5)(000101)  <=>         (13)(001101)
     0.0087755     0.0087829    -0.0000074 0.50          (5)(000101)  <=>         (37)(100101)
     0.0095425     0.0000001     0.0095424 0.50          (5)(000101)  <=>         (38)(100110)
     1.6711397     0.0866668     1.5844729 0.50          (8)(001000)  <=>          (9)(001001)
    92.6885333    68.3402063    24.3483270 0.50          (8)(001000)  <=>         (12)(001100)
     0.0024305    25.9550160   -25.9525855 0.50          (8)(001000)  <=>         (16)(010000)
     3.3281530     3.3087599     0.0193930 0.50          (8)(001000)  <=>         (40)(101000)
    36.3610097    36.3208985     0.0401112 0.50          (9)(001001)  <=>         (13)(001101)
     0.0005582     0.0197575    -0.0191993 0.50          (9)(001001)  <=>         (17)(010001)
     0.7643731     0.7655043    -0.0011312 0.50          (9)(001001)  <=>         (41)(101001)
     1.5646024     0.0000000     1.5646024 0.50          (9)(001001)  <=>         (42)(101010)
    27.1089300     0.3612146    26.7477154 0.50         (12)(001100)  <=>         (13)(001101)
     0.0193188     2.4255752    -2.4062564 0.50         (12)(001100)  <=>         (20)(010100)
    56.2056697    56.2054200     0.0002497 0.50         (12)(001100)  <=>         (44)(101100)
     0.0084716     0.0042590     0.0042126 0.50         (13)(001101)  <=>         (21)(010101)
    24.6471110    24.6675091    -0.0203981 0.50         (13)(001101)  <=>         (45)(101101)
    26.8011166     0.0000000    26.8011166 0.50         (13)(001101)  <=>         (46)(101110)
     0.0001996    28.6045077   -28.6043081 0.50         (16)(010000)  <=>         (17)(010001)
   193.3857467   192.0289344     1.3568123 0.50         (16)(010000)  <=>         (20)(010100)
    42.5274722    41.2325565     1.2949157 0.50         (16)(010000)  <=>         (24)(011000)
     0.0772257     0.0772311    -0.0000053 0.50         (16)(010000)  <=>         (48)(110000)
     0.9658815     0.4983815     0.4675000 0.50         (17)(010001)  <=>         (21)(010101)
     0.0323727     0.0000548     0.0323179 0.50         (17)(010001)  <=>         (25)(011001)
     0.0000588     0.0000430     0.0000157 0.50         (17)(010001)  <=>         (49)(110001)
    24.5046614    53.6280025   -29.1233410 0.50         (17)(010001)  <=>         (50)(110010)
     0.0250648     1.1668795    -1.1418147 0.50         (20)(010100)  <=>         (21)(010101)
     0.7408655     0.7229824     0.0178831 0.50         (20)(010100)  <=>         (28)(011100)
     0.0967559     0.0223459     0.0744100 0.50         (20)(010100)  <=>         (50)(110010)
     0.0013453     0.0012678     0.0000776 0.50         (20)(010100)  <=>         (52)(110100)
     0.0013009     0.0000162     0.0012847 0.50         (21)(010101)  <=>         (29)(011101)
     0.0435318     0.0000016     0.0435302 0.50         (21)(010101)  <=>         (51)(110011)
     0.0000024     0.0000018     0.0000005 0.50         (21)(010101)  <=>         (53)(110101)
     0.4147688     1.1296863    -0.7149175 0.50         (21)(010101)  <=>         (54)(110110)
     0.0045238     1.1324358    -1.1279120 0.50         (24)(011000)  <=>         (25)(011001)
  4383.0273151  4380.6045937     2.4227215 0.50         (24)(011000)  <=>         (28)(011100)
     1.7502969     1.7501907     0.0001062 0.50         (24)(011000)  <=>         (56)(111000)
     0.0382387     0.1449503    -0.1067116 0.50         (25)(011001)  <=>         (29)(011101)
     0.0000023     0.0000151    -0.0000128 0.50         (25)(011001)  <=>         (57)(111001)
     0.9701253     1.9589949    -0.9888697 0.50         (25)(011001)  <=>         (58)(111010)
     0.5717831     0.3393775     0.2324056 0.50         (28)(011100)  <=>         (29)(011101)
     2.2072154     0.0008163     2.2063991 0.50         (28)(011100)  <=>         (58)(111010)
     0.0306902     0.0288902     0.0017999 0.50         (28)(011100)  <=>         (60)(111100)
     0.0126609     0.0000000     0.0126609 0.50         (29)(011101)  <=>         (59)(111011)
     0.0000007     0.0000008    -0.0000002 0.50         (29)(011101)  <=>         (61)(111101)
     0.1206322     0.0063142     0.1143180 0.50         (29)(011101)  <=>         (62)(111110)
     0.0000002     0.0000000     0.0000002 0.50         (32)(100000)  <=>         (33)(100001)
     0.0000134     0.0000134     0.0000000 0.50         (32)(100000)  <=>         (36)(100100)
     0.0000000     0.0000003    -0.0000003 0.50         (32)(100000)  <=>         (40)(101000)
     0.0000000     0.0000000     0.0000000 0.50         (32)(100000)  <=>         (48)(110000)
     0.0000097     0.0000098    -0.0000001 0.50         (33)(100001)  <=>         (37)(100101)
     0.0000000     0.0000001    -0.0000001 0.50         (33)(100001)  <=>         (41)(101001)
     0.0000000     0.0000000     0.0000000 0.50         (33)(100001)  <=>         (49)(110001)
   863.0355803  1009.5405757  -146.5049953 0.50         (34)(100010)  <=>         (35)(100011)
   675.6252516   530.1472178   145.4780338 0.50         (34)(100010)  <=>         (38)(100110)
     1.8202971     0.8108433     1.0094537 0.50         (34)(100010)  <=>         (42)(101010)
     0.0224451     0.0043886     0.0180565 0.50         (34)(100010)  <=>         (50)(110010)
     0.0390437   146.9341402  -146.8950965 0.50         (35)(100011)  <=>         (39)(100111)
     0.5557346     0.1724794     0.3832552 0.50         (35)(100011)  <=>         (43)(101011)
     0.0068525     0.0000065     0.0068460 0.50         (35)(100011)  <=>         (51)(110011)
     0.0000053     0.0000001     0.0000052 0.50         (36)(100100)  <=>         (37)(100101)
     0.0000000     0.0000051    -0.0000050 0.50         (36)(100100)  <=>         (44)(101100)
